DATE,KEY,ROOMS_BEFORE,ROOMS_AFTER,ROOMS_SAVED
2025-12-26,26/12/2025_07g00_1,44,39,5
2025-12-26,26/12/2025_07g00_2,66,48,18
2025-12-26,26/12/2025_09g30_1,22,10,12
2025-12-26,26/12/2025_09g30_2,17,7,10
2025-12-26,26/12/2025_13g00_1,15,7,8
2025-12-26,26/12/2025_13g00_2,67,27,40
2025-12-26,26/12/2025_15g30_1,7,6,1
2025-12-26,26/12/2025_15g30_2,3,3,0
2025-12-26,26/12/2025_18g15_1,6,2,4
2025-12-27,27/12/2025_07g00_1,3,2,1
2025-12-27,27/12/2025_07g00_2,30,30,0
2025-12-27,27/12/2025_09g30_1,11,6,5
2025-12-27,27/12/2025_09g30_2,12,10,2
2025-12-27,27/12/2025_13g00_1,14,5,9
2025-12-27,27/12/2025_13g00_2,11,6,5
2025-12-27,27/12/2025_15g30_1,7,5,2
2025-12-27,27/12/2025_15g30_2,7,7,0
2025-12-28,28/12/2025_07g00_1,5,5,0
2025-12-28,28/12/2025_07g00_2,4,4,0
2025-12-28,28/12/2025_09g30_1,14,14,0
2025-12-28,28/12/2025_13g00_1,20,16,4
2025-12-28,28/12/2025_13g00_2,19,12,7
2025-12-28,28/12/2025_15g30_1,8,4,4
2025-12-29,29/12/2025_07g00_1,27,11,16
2025-12-29,29/12/2025_07g00_2,54,18,36
2025-12-29,29/12/2025_09g30_1,3,3,0
2025-12-29,29/12/2025_13g00_1,19,9,10
2025-12-29,29/12/2025_13g00_2,34,13,21
2025-12-29,29/12/2025_18g15_1,9,5,4
2025-12-30,30/12/2025_07g00_1,37,16,21
2025-12-30,30/12/2025_07g00_2,64,24,40
2025-12-30,30/12/2025_09g30_1,21,21,0
2025-12-30,30/12/2025_09g30_2,47,47,0
2025-12-30,30/12/2025_13g00_1,13,7,6
2025-12-30,30/12/2025_13g00_2,14,8,6
2025-12-30,30/12/2025_15g30_1,1,1,0
2025-12-30,30/12/2025_15g30_2,4,2,2
2025-12-30,30/12/2025_18g15_1,3,3,0
2025-12-31,31/12/2025_07g00_1,41,17,24
2025-12-31,31/12/2025_07g00_2,61,25,36
2025-12-31,31/12/2025_09g30_1,8,6,2
2025-12-31,31/12/2025_09g30_2,12,11,1
2025-12-31,31/12/2025_13g00_1,14,9,5
2025-12-31,31/12/2025_13g00_2,28,22,6
2025-12-31,31/12/2025_15g30_1,6,5,1
2025-12-31,31/12/2025_15g30_2,12,6,6
2025-12-31,31/12/2025_18g15_1,3,1,2
